title,price,brand,image_link,url,sub_category,category,gender,promotions,metadata_features
bugatti Women's 432636065969 Low-Top Sneakers,£28.77 - £62.87,bugatti,https://m.media-amazon.com/images/I/41exUG2FL5L.jpg,https://www.amazon.co.uk/dp/B07KQKYZYR,Fashion Trainers,Fashion & Athletic Trainers,Female,11.00%,Outer Material: Synthetic  Inner Material: Textile  Sole: Ethylene Vinyl Acetate  Closure: Lace-Up  Heel Type: Flat  Shoe Width: Medium
Pablosky Girl's 495000 Sandal,£25.76 - £36.69,Pablosky,https://m.media-amazon.com/images/I/31lTfKx5r0L.jpg,https://www.amazon.co.uk/dp/B08HJJ5N7R,Sandals,Girls' Shoes,Female,27.00%,Outer Material: Leather  Sole: Rubber  Closure: Hook & Loop  Shoe Width: Medium
HROYL Girls Dance Shoes Satin Latin/Chacha/Samba/Modern/Jazz Dance Shoes Ballroom 206,£25.99 - £28.99,Visit the HROYL Store,https://m.media-amazon.com/images/I/41u3nswtlAL.jpg,https://www.amazon.co.uk/dp/B08635QDSF,Dance Shoes,Sports & Outdoor Shoes,Female,14.00%,❤️ Comfortable: The angle between the toe and the bottom is 15 degrees  which makes the dance movement easier to move forward or backward.Make the shoes comfort and flexibility.  Outer Material: Satin  Inner Material: Manmade  Sole: Synthetic  Closure: Buckle  Heel Height: 3.5 centimetres  Heel Type: Block  Material Composition: satin & gliter leather  Shaft Diameter: Medium  Shoe Width: Normal  ❤️ SOFT LIGHTWEIGHT: Super lightweight and flexible  make you feel great freedom and comfortable in wearing  keep your amazing dancing..  ❤️ OCCASION: indoor/outdoor ballroom dance such as salsa  quickstep  latin  waltz  foxtrot  rumba  cha cha  swing  disco  samba  jive tango or some other special occasion such as wedding  party or dance training center  etc. .  ❤️ SIZE TIP: Dance shoes are different from ordinary sports shoes. It needs high comfort  Please measure the length and width of your feet before purchase   then refer to our size chart for shopping. If your feet is a little wide please choose a bigger size..
MILLET Unisex's Hike Up Mid GTX Slouch Boots,£108.49 - £143.40,Visit the MILLET Store,https://m.media-amazon.com/images/I/416WiewUFJL.jpg,https://www.amazon.co.uk/dp/B084GB1DS3,Trekking & Hiking Boots,Trekking & Hiking Footwear,Female,26.00%,Outer Material: Leather  Inner Material: Manmade  Sole: Bast  Closure: Lace-Up  Shoe Width: Medium  Contents: Castle Gray (Light Gray)
adidas Originals Men's Superstar Foundation Sneaker,£27.50 - £214.11,adidas Originals,https://m.media-amazon.com/images/I/31PV8FxA9hL.jpg,https://www.amazon.co.uk/dp/B07T26WQF5,Fashion Trainers,Fashion & Athletic Trainers,Male,19.00%,Outer Material: Synthetic  Inner Material: Manmade  Sole: Rubber  Closure: Lace-Up  Heel Height: 1 centimetres  Heel Type: Flat  Material Composition: Leather  Shoe Width: Normale
victoria Women's Tenis Piel/Virutas Glitter Sneaker,£42.49 - £75.49,VICTORIA,https://m.media-amazon.com/images/I/41EgRWMfFGL.jpg,https://www.amazon.co.uk/dp/B0824F5JRM,Fashion Trainers,Fashion & Athletic Trainers,Female,22.00%,Outer Material: Smooth Leather  Inner Material: Canvas  Sole: Rubber  Closure: Lace-Up  Heel Type: Low  Shoe Width: Medium  Shoe width: medium.
Hugo Boss Men's Mirage_Tenn_oxcm Sneaker,£99.23 - £189.89,Hugo Boss,https://m.media-amazon.com/images/I/3149rshrw9S.jpg,https://www.amazon.co.uk/dp/B08CF25Q1L,Fashion Trainers,Fashion & Athletic Trainers,Male,32.00%,Outer Material: Leather  Inner Material: Leather  Sole: Rubber  Closure: Lace-Up  Shoe Width: Medium
Absolute Footwear Mens Twin Gusset Slip On Velour Style Checked Winter Slippers,£16.99,Visit the Absolute Footwear Store,https://m.media-amazon.com/images/I/41qDDJ5CiyL.jpg,https://www.amazon.co.uk/dp/B09B455S7B,Slippers,Men's Shoes,Male,17.00%,Sizs: UK 7 - 12  Outer Material: Textile  Inner Material: Textile  Sole: Synthetic  Closure: Pull On  Shoe Width: Medium
adidas Men's Ultraboost 5.0 DNA Running Shoe  core Black/core Black/FTWR White  10 UK,£140.00,Visit the adidas Store,https://m.media-amazon.com/images/I/41+wLQIk9uL.jpg,https://www.amazon.co.uk/dp/B0919PVV9Z,Road Running Shoes,Running Shoes,Male,24.00%,Outer Material: Cotton  Inner Material: Canvas  Sole: Rubber  Closure: Lace-Up  Heel Type: No Heel  Shoe Width: Medium
Clarks Men's Bayhill Plain Oxford,£28.02 - £90.84,Visit the Clarks Store,https://m.media-amazon.com/images/I/31B4LeV-WbL.jpg,https://www.amazon.co.uk/dp/B084DQPC13,Lace-ups,Men's Shoes,Male,36.00%,Outer Material: Nubuck Leather  Inner Material: Manmade  Sole: Leather and rubber  Closure: Lace-Up  Heel Height: 1 centimetres  Heel Type: Flat  Shoe Width: Wide
Kappa Unisex's Sneem Sneaker,£26.24 - £53.59,Visit the Kappa Store,https://m.media-amazon.com/images/I/41eDCN36+GL.jpg,https://www.amazon.co.uk/dp/B08898G4DM,Fashion Trainers,Fashion & Athletic Trainers,Male,26.00%,Outer Material: Synthetic  Inner Material: Manmade  Sole: Ethylene Vinyl Acetate  Closure: Pull On  Shoe Width: Medium
Teva Unisex Kid's K Midform Universal Sandals,£27.00 - £85.69,Visit the Teva Store,https://m.media-amazon.com/images/I/41U7yOvW4IS.jpg,https://www.amazon.co.uk/dp/B08RXW73XF,Water Shoes,Sports & Outdoor Shoes,Male,40.00%,Great for: all day wear  festivals  moving around town  Outer Material: Synthetic  Inner Material: Manmade  Sole: Synthetic  Closure: Hook and loop  Heel Type: Flat  Shoe Width: Medium
Capezio Websneaker  Girls’ Casual,£36.40 - £49.00,Capezio,https://m.media-amazon.com/images/I/41Vt3Tj1QKL.jpg,https://www.amazon.co.uk/dp/B00307JJR0,Sports & Outdoor Shoes,Fashion & Athletic Trainers,Female,30.00%,Outer Material: Mesh  Inner Material: Manmade  Sole: Polyurethane  Closure: Lace-Up  Heel Height: 1 centimetres  Heel Type: Flat  Shoe Width: Medium
Skechers Women's Ultra Groove Trainers,£40.31 - £199.90,Visit the Skechers Store,https://m.media-amazon.com/images/I/4105lS5DErL.jpg,https://www.amazon.co.uk/dp/B07TVF6ZBP,Fashion Trainers,Fashion & Athletic Trainers,Female,15.00%,Upper: Textile  Lining: Textile  Outer Material: Synthetic  Inner Material: Textile  Sole: Ethylene Vinyl Acetate  Closure: Lace-Up  Heel Type: No Heel  Shoe Width: Medium  Sole: EVA  Heel Height: 45  Width: Standard
Rieker Women Low Shoes  Loafers L2327  Ladies Low-Tops Removable Insole,£29.39 - £41.35,Rieker,https://m.media-amazon.com/images/I/41IyKyn39IL.jpg,https://www.amazon.co.uk/dp/B07W6S18DB,Loafers & Moccasins,Flat Shoes,Female,27.00%,Product type: Low shoes  Loafers Low-tops low shoe street shoe lace up lace up shoe sports shoe platform sole leisure  Outer material: textile  Outer Material: Synthetic  Inner Material: Manmade  Sole: Synthetic  Closure: Lace-Up  Heel Height: 3.5 centimetres  Heel Type: Flat  Shoe Width: Medium  Heel type: ankle  Width: Lace-Up
Little/Big Boys Girls Lightweight Graffiti Personality Shoes Kids Sneaker Mesh Breathable Athletic Running Tennis Shoes(Size:30 Color:C),£22.93,QBSW,https://m.media-amazon.com/images/I/41te42GqtKL.jpg,https://www.amazon.co.uk/dp/B08Z7SY2R9,Sandals,Boys' Shoes,Male,21.00%,Occasions: outdoor sports  vacation  school  church  travel  walking with dogs  daily wear  etc.
dockers Men's Sunland Slide Sandal,£37.15 - £162.50,Visit the Dockers Store,https://m.media-amazon.com/images/I/31gygukQhsL.jpg,https://www.amazon.co.uk/dp/B07XJR94FR,Sandals,Men's Shoes,Male,17.00%,Outer Material: Faux Leather  Sole: Rubber  Closure: Slip On  Heel Height: 1 inches  Heel Type: low-heel  Shoe Width: Medium mens_us
Nine West Kids' Odettah Sneaker  Grey Jersey  Size 6 Medium US Big Kid US/US,£31.43,NINE WEST,https://m.media-amazon.com/images/I/41QLa6nt5XL.jpg,https://www.amazon.co.uk/dp/B071HXDK1Z,Fashion Trainers,Fashion & Athletic Trainers,Female,15.00%,Outer Material: Synthetic  Sole: Rubber  Closure: Pull On  Shoe Width: M  style: Odettah  closure_type: Slip-On
Walk Shoes Women Athletic Casual Tennis Sneakers Lace Up Walking Shoes Striped Pattern Autumn Loafers,£17.68 - £18.28,JYC Store,https://m.media-amazon.com/images/I/41+GJL894TS.jpg,https://www.amazon.co.uk/dp/B09C8C5T8K,Fashion Trainers,Fashion & Athletic Trainers,Female,19.00%,Outer Material: Canvas  boys trainers  badminton shoes  women's walking shoes  running shoes for wome  Inner Material: Wedge  pointed-toe  women's slippers  white trainers women  Sole: Rubber  Closure: Lace-Up  Pull On  Hook & Loop  Heel Height: 1.5 centimetres  Heel Type: Low  Shoe Width: Medium
Skechers Men's Dyna-air - Blyce Trainers,£46.00 - £144.26,Visit the Skechers Store,https://m.media-amazon.com/images/I/410vpTfvXNL.jpg,https://www.amazon.co.uk/dp/B07P23G5X9,Fashion Trainers,Fashion & Athletic Trainers,Male,21.00%,Outer Material: Synthetic  Inner Material: Textile  Sole: Ethylene Vinyl Acetate  Closure: Lace-Up  Heel Type: Flat  Shoe Width: Medium mens_us
Puma - Infant Suede Classic Bboy Fabulous Shoes,£75.95 - £104.14,Visit the PUMA Store,https://m.media-amazon.com/images/I/41ZdwZEHJCL.jpg,https://www.amazon.co.uk/dp/B07DW6XC32,First Walking Shoes,Baby Boys,Male,37.00%,Outer Material: Synthetic  Sole: Rubber  Closure: Lace-Up  Shoe Width: Medium
IGI&Co Men's Urt 71131 Oxford,£17.96 - £78.72,IGI&Co,https://m.media-amazon.com/images/I/41TJYpNDhcL.jpg,https://www.amazon.co.uk/dp/B08J7ZXK8C,Lace-ups,Men's Shoes,Male,37.00%,Outer Material: Synthetic  Inner Material: Manmade  Sole: Synthetic  Closure: Lace-Up  Heel Height: 0.5 centimetres  Heel Type: Flat  Shoe Width: Normale
Jamron Men's Suede Leather Penny Loafers Comfort Driving Shoes Moccasin Slippers,£29.90 - £30.90,Visit the Jamron Store,https://m.media-amazon.com/images/I/51MkgEHu8tL.jpg,https://www.amazon.co.uk/dp/B0743BKHVW,Loafers & Moccasins,Men's Shoes,Male,26.00%,Outer Material: Suede Leather  Inner Material: Leather  Sole: Rubber  Closure: Pull On  Heel Height: 1 centimetres  Heel Type: Flat  Shoe Width: Normal
Pure and Precious White Satin Bridesmaids Bridal Flower Girls Communion Childrens Shoes 7 8 9 10 11 12 13 1 2 3 Isabella L/H,£17.99 - £21.00,Pure and Precious,https://m.media-amazon.com/images/I/317BTxvkJsL.jpg,https://www.amazon.co.uk/dp/B00AYXO92S,Boots,Girls' Shoes,Female,27.00%,Outer Material: Satin  Closure: Buckle  Heel Height: 3 centimetres  Material Composition: 100 % satin  Shoe Width: Medium
Geox Girl's J Calco Shoes,£35.24 - £54.52,Visit the Geox Store,https://m.media-amazon.com/images/I/41bCZtu2QtL.jpg,https://www.amazon.co.uk/dp/B08PKY8MPQ,Fashion Trainers,Fashion & Athletic Trainers,Female,17.00%,Outer Material: Synthetic  Inner Material: Canvas  Sole: Rubber  Closure: Hook & Loop  Heel Type: Flat  Shoe Width: Normal
Primigi Pwt 84295  Girl's Mary Jane,£25.01 - £64.07,Primigi,https://m.media-amazon.com/images/I/41wOh27Y32L.jpg,https://www.amazon.co.uk/dp/B08VWZB2XC,Mary Janes,Girls' Shoes,Female,30.00%,Outer Material: Synthetic  Inner Material: Leather  Sole: Rubber  Closure: Hook & Loop  Heel Type: Flat  Shoe Width: Medium
Finn Comfort Sidonia Women's Low Shoes,,FinnComfort,https://m.media-amazon.com/images/I/41jIK82gtEL.jpg,https://www.amazon.co.uk/dp/B0851FNQ55,Fashion Trainers,Fashion & Athletic Trainers,Female,29.00%,Colour: black  Material: nubuck leather  Outer Material: Leather  Inner Material: Vegetable-tanned leather  Sole: Rubber  Closure: Lace-Up  Heel Height: 18 millimetres  Shoe Width: Schmal  Style: lace-up shoes  Shape: City-Sport  Detail colour: black (902132)
Reebok Women's Lite 2.0 Running Shoe,£35.59 - £133.00,Visit the Reebok Store,https://m.media-amazon.com/images/I/310why27JWL.jpg,https://www.amazon.co.uk/dp/B0855JYDSV,Road Running Shoes,Running Shoes,Female,23.00%,Sole: Rubber  Closure: Lace-Up  Heel Type: low-heel  Shoe Width: M
Women's running shoes hiking for women leisure slip fashion sports outdoor shoes.,£21.98 - £37.12,Lingmu,https://m.media-amazon.com/images/I/51N8kZPRQmL.jpg,https://www.amazon.co.uk/dp/B0895HSVJB,Sports & Outdoor Shoes,Fashion & Athletic Trainers,Female,13.00%,Fashionable knitted mesh upper: ultra-light support and breathability maximise the upper material and keep your feet dry and cool all the time  Inner honeycomb design: keep your feet balanced  dampen shocks and maximise ventilation  Outer Material: Rubber  Closure: Lace-Up  Heel Height: 3 centimetres  Shoe Width: Normal  Sports shoes: The sole is made of hollow carved technology to provide stable support and best shock absorption for sports  Fashionable hollow sole: clear texture of the outsole  non-slip grip  excellent elasticity.
TOMS Berkeley Slippers,£50.00 - £83.41,Visit the TOMS Store,https://m.media-amazon.com/images/I/31TgFwmpYwL.jpg,https://www.amazon.co.uk/dp/B0815SFX5J,Slippers,Men's Shoes,Male,25.00%,Outer Material: Textile  Inner Material: Faux Shearling  Sole: Rubber  Closure: Pull On  Shoe Width: Medium
